idProduct	name	set	category	list	baseline_avg	baseline_low	baseline_trend	baseline_date	note
275404	Charizard [Crystal Type | Fireblast | Dragon Tail]	Skyridge	Single	condition-48	6800	475	4526.87	2026-08-10	PL EUR1500.0 vs NM EUR3100.0 (2.07x)
275225	Lugia [Crystal Type | Psychic | Steam Blast]	Aquapolis	Single	condition-48	6115	820	4184.43	2026-08-10	PL EUR1900.0 vs NM EUR3899.0 (2.05x)
369095	Latias & Latios GX [Buster Purge | Aero Unit GX]	Team Up	Single	condition-48	5138.4	335	3208.39	2026-08-10	EX EUR23.0 vs NM EUR63.0 (2.74x)
276875	Kyogre Gold Star [Critical Collection | Sheer Cold]	EX Delta Species	Single	condition-48	3700	499.99	1363.53	2026-08-10	LP EUR1142.32 vs NM EUR4799.0 (4.2x)
274759	Shining Charizard [White-hot Flame]	Neo Destiny	Single	condition-48	2650	298	1238.68	2026-08-10	PL EUR900.0 vs NM EUR3000.0 (3.33x)
562305	Umbreon [Shadow Drain | Slashing Strike]	BW Promos	Single	condition-48	2600	300	630.09	2026-08-10	GD EUR18.04 vs NM EUR40.0 (2.22x)
276401	Treecko Gold Star [Tackle | Spring Back]	EX Team Rocket Returns	Single	condition-48	2491.67	2000	2931.98	2026-08-10	GD EUR2000.0 vs NM EUR7000.0 (3.5x)
275407	Ho-Oh [Crystal Type | Holy Flame | Scalding Steam]	Skyridge	Single	condition-48	1449	84.9	1174.58	2026-08-10	LP EUR270.0 vs NM EUR420.0 (1.56x)
469209	Poncho-wearing Eevee [Pin Missile?]	Sun & Moon Promos	Single	condition-48	1349.5	520	1148.24	2026-08-10	GD EUR520.0 vs NM EUR880.0 (1.69x)
469599	Cherry Blossom Afro Pikachu [Cherry Blossom Bloom | Pika Bolt]	Sun & Moon Promos	Single	condition-48	1335	250	703	2026-08-10	GD EUR250.0 vs NM EUR480.0 (1.92x)
284278	Primal Groudon EX [Gaia Volcano]	Ancient Origins	Single	condition-48	1273.33	64.99	785.82	2026-08-10	PL EUR80.0 vs NM EUR300.61 (3.76x)
